rank, city, state, pop_2014, pop_2010, change, land_area, density, lat, lon
277 , Wichita Falls , Texas , 105114 , 104553 , +0.54 , 72.1 , 1449 , 33.9067, -98.5259
278 , Boulder , Colorado , 105112 , 97385 , +7.93 , 25.7 , 3947 , 40.0175, -105.2797
279 , Green Bay , Wisconsin , 104891 , 104057 , +0.80 , 45.5 , 2289 , 44.5207, -87.9842
280 , Broken Arrow , Oklahoma , 104726 , 98850 , +5.94 , 61.6 , 1605 , 36.0365, -95.781
281 , West Palm Beach , Florida , 104031 , 99919 , +4.12 , 55.3 , 1807 , 26.7483, -80.1266
282 , College Station , Texas , 103483 , 93857 , +10.26 , 49.6 , 1978 , 30.6013, -96.3144
283 , Pearland , Texas , 103441 , 91252 , +13.36 , 47.5 , 1900 , 29.5544, -95.2958
284 , Santa Maria , California , 103410 , 99553 , +3.87 , 22.8 , 4375 , 34.9332, -120.4438
285 , El Cajon , California , 103091 , 99478 , +3.63 , 14.4 , 6892 , 32.8017, -116.9605
286 , San Mateo , California , 102893 , 97207 , +5.85 , 15.9 , 8014 , 37.5542, -122.3131
287 , Lewisville , Texas , 102889 , 95290 , +7.97 , 42.5 , 2618 , 33.0383, -97.0061
288 , Rialto , California , 102741 , 99171 , +3.60 , 22.4 , 4437 , 34.1118, -117.3883
289 , Davenport , Iowa , 102448 , 99685 , +2.77 , 62.9 , 1584 , 41.5541, -90.604
290 , Lakeland , Florida , 102346 , 97422 , +5.05 , 74.4 , 1711 , 28.0411, -81.9589
291 , Clovis , California , 102189 , 95631 , +6.86 , 23.3 , 4386 , 36.4931, -119.4211
292 , Edison , New Jersey , 101970 , 99967 , +2.00 , 30.6 , 3339.0 , 40.5040, -74.3494
293 , Sandy Springs , Georgia , 101908 , 93853 , +8.58 , 39.0 , 2613.0 , 33.5615, -84.227
294 , Tyler , Texas , 101421 , 96900 , +4.67 , 54.4 , 1782 , 32.35, -95.3
295 , Las Cruces , New Mexico , 101408 , 97618 , +3.88 , 76.3 , 1279 , 32.3197, -106.7653
296 , South Bend , Indiana , 101190 , 101168 , +0.02 , 41.5 , 2440 , 41.6769, -86.269
297 , Woodbridge , New Jersey , 100824 , 99585 , +1.24 , 24.5 , 4290.0 , 40.5608, -74.2926
